unique_word_id,word,frequency,posterior_probability
105,should,14,0.0012001714530647236
106,psychedelics,14,0.0012001714530647236
107,focus,14,0.0012001714530647236
108,university,14,0.0012001714530647236
109,he,14,0.0012001714530647236
110,active,14,0.0012001714530647236
111,policy,14,0.0012001714530647236
112,them,13,0.0011144449207029575
113,over,13,0.0011144449207029575
114,climate,13,0.0011144449207029575
115,high,13,0.0011144449207029575
116,where,13,0.0011144449207029575
117,if,13,0.0011144449207029575
118,article,13,0.0011144449207029575
119,global,13,0.0011144449207029575
120,team,13,0.0011144449207029575
121,must,13,0.0011144449207029575
122,bbb,13,0.0011144449207029575
123,anti,13,0.0011144449207029575
124,world,12,0.0010287183883411915
125,even,12,0.0010287183883411915
126,disease,12,0.0010287183883411915
127,our,12,0.0010287183883411915
128,daraxonrasib,12,0.0010287183883411915
129,no,12,0.0010287183883411915
130,now,12,0.0010287183883411915
131,cross,12,0.0010287183883411915
132,countries,12,0.0010287183883411915
133,pd,12,0.0010287183883411915
134,metastases,12,0.0010287183883411915
135,fossils,12,0.0010287183883411915
136,including,11,0.0009429918559794256
137,need,11,0.0009429918559794256
138,however,11,0.0009429918559794256
139,because,11,0.0009429918559794256
140,once,11,0.0009429918559794256
141,two,11,0.0009429918559794256
142,around,11,0.0009429918559794256
143,first,11,0.0009429918559794256
144,among,11,0.0009429918559794256
145,would,11,0.0009429918559794256
146,education,11,0.0009429918559794256
147,image,11,0.0009429918559794256
148,changes,11,0.0009429918559794256
149,blood,11,0.0009429918559794256
150,body,11,0.0009429918559794256
151,therapy,11,0.0009429918559794256
152,mosquitoes,11,0.0009429918559794256
153,life,10,0.0008572653236176596
154,both,10,0.0008572653236176596
155,family,10,0.0008572653236176596
156,co,10,0.0008572653236176596
157,land,10,0.0008572653236176596
158,within,10,0.0008572653236176596
159,often,10,0.0008572653236176596
160,time,10,0.0008572653236176596
161,kras,10,0.0008572653236176596
162,work,10,0.0008572653236176596
163,based,10,0.0008572653236176596
164,had,10,0.0008572653236176596
165,limited,10,0.0008572653236176596
166,between,10,0.0008572653236176596
167,through,10,0.0008572653236176596
168,evidence,10,0.0008572653236176596
169,environment,10,0.0008572653236176596
170,underground,10,0.0008572653236176596
171,so,9,0.0007715387912558937
172,higher,9,0.0007715387912558937
173,according,9,0.0007715387912558937
174,findings,9,0.0007715387912558937
175,technology,9,0.0007715387912558937
176,results,9,0.0007715387912558937
177,paper,9,0.0007715387912558937
178,cancers,9,0.0007715387912558937
179,early,9,0.0007715387912558937
180,next,9,0.0007715387912558937
181,re,9,0.0007715387912558937
182,different,9,0.0007715387912558937
183,adds,9,0.0007715387912558937
184,immunotherapy,9,0.0007715387912558937
185,barrier,9,0.0007715387912558937
