unique_word_id,word,frequency,posterior_probability
204,15,18,0.0006632765863365023
205,100,18,0.0006632765863365023
206,2024,18,0.0006632765863365023
207,low,18,0.0006632765863365023
208,wednesday,18,0.0006632765863365023
209,back,18,0.0006632765863365023
210,between,18,0.0006632765863365023
211,reported,18,0.0006632765863365023
212,revenue,18,0.0006632765863365023
213,like,18,0.0006632765863365023
214,loan,18,0.0006632765863365023
215,car,18,0.0006632765863365023
216,re,18,0.0006632765863365023
217,renewable,18,0.0006632765863365023
218,share,17,0.0006264278870955855
219,added,17,0.0006264278870955855
220,increased,17,0.0006264278870955855
221,long,17,0.0006264278870955855
222,minister,17,0.0006264278870955855
223,every,17,0.0006264278870955855
224,previous,17,0.0006264278870955855
225,deposits,17,0.0006264278870955855
226,income,17,0.0006264278870955855
227,rates,17,0.0006264278870955855
228,cars,17,0.0006264278870955855
229,remain,17,0.0006264278870955855
230,eu,17,0.0006264278870955855
231,coal,17,0.0006264278870955855
232,non,16,0.0005895791878546687
233,so,16,0.0005895791878546687
234,production,16,0.0005895791878546687
235,countries,16,0.0005895791878546687
236,products,16,0.0005895791878546687
237,europe,16,0.0005895791878546687
238,before,16,0.0005895791878546687
239,does,16,0.0005895791878546687
240,child,16,0.0005895791878546687
241,our,16,0.0005895791878546687
242,down,16,0.0005895791878546687
243,tata,16,0.0005895791878546687
244,travel,16,0.0005895791878546687
245,power,16,0.0005895791878546687
246,units,16,0.0005895791878546687
247,19,15,0.000552730488613752
248,20,15,0.000552730488613752
249,union,15,0.000552730488613752
250,five,15,0.000552730488613752
251,equity,15,0.000552730488613752
252,sales,15,0.000552730488613752
253,statement,15,0.000552730488613752
254,earnings,15,0.000552730488613752
255,second,15,0.000552730488613752
256,article,15,0.000552730488613752
257,image,15,0.000552730488613752
258,say,15,0.000552730488613752
259,bajaj,15,0.000552730488613752
260,service,15,0.000552730488613752
261,too,15,0.000552730488613752
262,see,15,0.000552730488613752
263,conflict,15,0.000552730488613752
264,18,14,0.0005158817893728352
265,recent,14,0.0005158817893728352
266,likely,14,0.0005158817893728352
267,any,14,0.0005158817893728352
268,off,14,0.0005158817893728352
269,ago,14,0.0005158817893728352
270,analysts,14,0.0005158817893728352
271,hindu,14,0.0005158817893728352
272,director,14,0.0005158817893728352
273,set,14,0.0005158817893728352
274,adding,14,0.0005158817893728352
275,economy,14,0.0005158817893728352
276,fourth,14,0.0005158817893728352
277,among,14,0.0005158817893728352
278,end,14,0.0005158817893728352
279,posted,14,0.0005158817893728352
280,much,14,0.0005158817893728352
281,current,14,0.0005158817893728352
282,value,14,0.0005158817893728352
283,insurance,14,0.0005158817893728352
284,full,14,0.0005158817893728352
285,abroad,14,0.0005158817893728352
286,cuts,14,0.0005158817893728352
287,rise,14,0.0005158817893728352
288,60,13,0.00047903309013191833
289,four,13,0.00047903309013191833
290,domestic,13,0.00047903309013191833
291,tuesday,13,0.00047903309013191833
292,strong,13,0.00047903309013191833
293,import,13,0.00047903309013191833
294,major,13,0.00047903309013191833
295,labour,13,0.00047903309013191833
296,technology,13,0.00047903309013191833
297,them,13,0.00047903309013191833
298,how,13,0.00047903309013191833
299,private,13,0.00047903309013191833
300,ministry,13,0.00047903309013191833
301,management,13,0.00047903309013191833
302,never,13,0.00047903309013191833
303,these,13,0.00047903309013191833
304,personal,13,0.00047903309013191833
305,scale,13,0.00047903309013191833
306,driven,13,0.00047903309013191833
307,rose,13,0.00047903309013191833
308,consumers,13,0.00047903309013191833
309,pressure,13,0.00047903309013191833
310,jet,13,0.00047903309013191833
311,routes,13,0.00047903309013191833
312,european,13,0.00047903309013191833
313,gw,13,0.00047903309013191833
314,99,12,0.00044218439089100157
315,against,12,0.00044218439089100157
316,earlier,12,0.00044218439089100157
317,structural,12,0.00044218439089100157
318,largest,12,0.00044218439089100157
319,day,12,0.00044218439089100157
320,almost,12,0.00044218439089100157
321,june,12,0.00044218439089100157
322,ltd,12,0.00044218439089100157
323,do,12,0.00044218439089100157
324,large,12,0.00044218439089100157
325,rubber,12,0.00044218439089100157
326,imports,12,0.00044218439089100157
327,her,12,0.00044218439089100157
328,focus,12,0.00044218439089100157
329,led,12,0.00044218439089100157
330,well,12,0.00044218439089100157
331,capital,12,0.00044218439089100157
332,make,12,0.00044218439089100157
333,fund,12,0.00044218439089100157
334,days,12,0.00044218439089100157
335,trust,12,0.00044218439089100157
336,operations,12,0.00044218439089100157
337,highest,12,0.00044218439089100157
338,finance,12,0.00044218439089100157
339,should,12,0.00044218439089100157
340,marshmallow,12,0.00044218439089100157
341,middle,12,0.00044218439089100157
342,right,12,0.00044218439089100157
343,very,12,0.00044218439089100157
344,amount,12,0.00044218439089100157
345,lenders,12,0.00044218439089100157
346,operating,12,0.00044218439089100157
347,exports,12,0.00044218439089100157
348,further,12,0.00044218439089100157
349,godrej,12,0.00044218439089100157
350,losses,12,0.00044218439089100157
351,stocks,12,0.00044218439089100157
352,tensions,12,0.00044218439089100157
353,risks,12,0.00044218439089100157
354,spirit,12,0.00044218439089100157
355,airline,12,0.00044218439089100157
356,chinese,12,0.00044218439089100157
357,tesla,12,0.00044218439089100157
358,sanctions,12,0.00044218439089100157
359,75,11,0.00040533569165008475
360,central,11,0.00040533569165008475
361,showed,11,0.00040533569165008475
362,ended,11,0.00040533569165008475
363,monday,11,0.00040533569165008475
364,mazumdar,11,0.00040533569165008475
365,take,11,0.00040533569165008475
366,just,11,0.00040533569165008475
367,q4,11,0.00040533569165008475
368,east,11,0.00040533569165008475
369,people,11,0.00040533569165008475
370,funds,11,0.00040533569165008475
371,consolidated,11,0.00040533569165008475
372,profitability,11,0.00040533569165008475
373,those,11,0.00040533569165008475
374,analyst,11,0.00040533569165008475
375,least,11,0.00040533569165008475
376,stress,11,0.00040533569165008475
377,asset,11,0.00040533569165008475
378,seen,11,0.00040533569165008475
379,rather,11,0.00040533569165008475
380,generation,11,0.00040533569165008475
381,show,11,0.00040533569165008475
382,rising,11,0.00040533569165008475
383,stated,11,0.00040533569165008475
384,trump,11,0.00040533569165008475
385,use,11,0.00040533569165008475
386,sold,11,0.00040533569165008475
